VisualID,Domain,Frequency,Temperature,Tile,UID,Vmin
D1324AJ200068,Nonsystolic,300,80,0,EU0_T0,0.530
D1324AJ200068,Nonsystolic,300,80,0,EU2_T0,0.530
D1324AJ200068,Nonsystolic,300,80,0,EU4_T0,0.560
D1324AJ200068,Nonsystolic,300,80,0,EU6_T0,0.640
D1324AJ200068,Nonsystolic,300,80,0,EU8_T0,0.630
D1324AJ200068,Nonsystolic,300,80,0,EU10_T0,0.560
D1324AJ200068,Nonsystolic,300,80,0,EU12_T0,0.560
D1324AJ200068,Nonsystolic,300,80,0,EU14_T0,0.570
D1324AJ200068,Nonsystolic,300,80,1,EU0_T1,0.580
D1324AJ200068,Nonsystolic,300,80,1,EU2_T1,0.580
D1324AJ200068,Nonsystolic,300,80,1,EU4_T1,0.640
D1324AJ200068,Nonsystolic,300,80,1,EU6_T1,0.600
D1324AJ200068,Nonsystolic,300,80,1,EU8_T1,0.560
D1324AJ200068,Nonsystolic,300,80,1,EU10_T1,0.590
D1324AJ200068,Nonsystolic,300,80,1,EU12_T1,0.580
D1324AJ200068,Nonsystolic,300,80,1,EU14_T1,0.580
D1324AJ200068,Base,300,80,0,BASE2_T0,0.690
D1324AJ200068,Base,300,80,1,BASE2_T1,0.700
D1324AJ200068,Nonsystolic,600,80,0,EU0_T0,0.530
D1324AJ200068,Nonsystolic,600,80,0,EU2_T0,0.530
D1324AJ200068,Nonsystolic,600,80,0,EU4_T0,0.560
D1324AJ200068,Nonsystolic,600,80,0,EU6_T0,0.650
D1324AJ200068,Nonsystolic,600,80,0,EU8_T0,0.630
D1324AJ200068,Nonsystolic,600,80,0,EU10_T0,0.560
D1324AJ200068,Nonsystolic,600,80,0,EU12_T0,0.560
D1324AJ200068,Nonsystolic,600,80,0,EU14_T0,0.580
D1324AJ200068,Nonsystolic,600,80,1,EU0_T1,0.580
D1324AJ200068,Nonsystolic,600,80,1,EU2_T1,0.580
D1324AJ200068,Nonsystolic,600,80,1,EU4_T1,0.640
D1324AJ200068,Nonsystolic,600,80,1,EU6_T1,0.600
D1324AJ200068,Nonsystolic,600,80,1,EU8_T1,0.560
D1324AJ200068,Nonsystolic,600,80,1,EU10_T1,0.590
D1324AJ200068,Nonsystolic,600,80,1,EU12_T1,0.580
D1324AJ200068,Nonsystolic,600,80,1,EU14_T1,0.580
D1324AJ200068,Base,600,80,0,BASE2_T0,0.690
D1324AJ200068,Base,600,80,1,BASE2_T1,0.700
D1324AJ200068,Nonsystolic,1000,80,0,EU0_T0,0.600
D1324AJ200068,Nonsystolic,1000,80,0,EU2_T0,0.600
D1324AJ200068,Nonsystolic,1000,80,0,EU4_T0,0.600
D1324AJ200068,Nonsystolic,1000,80,0,EU6_T0,0.650
D1324AJ200068,Nonsystolic,1000,80,0,EU8_T0,0.630
D1324AJ200068,Nonsystolic,1000,80,0,EU10_T0,0.600
D1324AJ200068,Nonsystolic,1000,80,0,EU12_T0,0.600
D1324AJ200068,Nonsystolic,1000,80,0,EU14_T0,0.600
D1324AJ200068,Nonsystolic,1000,80,1,EU0_T1,0.610
D1324AJ200068,Nonsystolic,1000,80,1,EU2_T1,0.610
D1324AJ200068,Nonsystolic,1000,80,1,EU4_T1,0.640
D1324AJ200068,Nonsystolic,1000,80,1,EU6_T1,0.610
D1324AJ200068,Nonsystolic,1000,80,1,EU8_T1,0.610
D1324AJ200068,Nonsystolic,1000,80,1,EU10_T1,0.610
D1324AJ200068,Nonsystolic,1000,80,1,EU12_T1,0.610
D1324AJ200068,Nonsystolic,1000,80,1,EU14_T1,0.610
D1324AJ200068,Base,750,80,0,BASE2_T0,0.690
D1324AJ200068,Base,750,80,1,BASE2_T1,0.700
D1324AJ200068,Nonsystolic,1200,80,0,EU0_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,0,EU2_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,0,EU4_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,0,EU6_T0,0.650
D1324AJ200068,Nonsystolic,1200,80,0,EU8_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,0,EU10_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,0,EU12_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,0,EU14_T0,0.640
D1324AJ200068,Nonsystolic,1200,80,1,EU0_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU2_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU4_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU6_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU8_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU10_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU12_T1,0.650
D1324AJ200068,Nonsystolic,1200,80,1,EU14_T1,0.650
D1324AJ200068,Base,1000,80,0,BASE2_T0,0.690
D1324AJ200068,Base,1000,80,1,BASE2_T1,0.710
D1324AJ200068,Nonsystolic,1600,80,0,EU0_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU2_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU4_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU6_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU8_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU10_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU12_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,0,EU14_T0,0.730
D1324AJ200068,Nonsystolic,1600,80,1,EU0_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU2_T1,0.710
D1324AJ200068,Nonsystolic,1600,80,1,EU4_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU6_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU8_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU10_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU12_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU14_T1,0.720
D1324AJ200068,Base,1200,80,0,BASE2_T0,0.750
D1324AJ200068,Base,1200,80,1,BASE2_T1,0.770
D1324AJ200068,Base,1600,80,0,BASE2_T0,0.920
D1324AJ200068,Base,1600,80,1,BASE2_T1,0.940
